Patch,Player,Team,Champion,Position,Tree,Secondary,Keystone,Rune1,Rune2,Rune3,Rune4,Rune5,Stat1,Stat2,Stat3,MH,Number,KeystoneReverse,Rune1Reverse,Rune2Reverse,Rune3Reverse,Rune4Reverse,Rune5Reverse,,,
11.9,Khan,DK,Gnar,Top,Resolve,Domination,Grasp of the Undying,Demolish,Second Wind,Unflinching,Taste of Blood,Ravenous Hunter,Attack Speed,Armor,Armor,Link,650,Aftershock,Demolish,Bone Plating,Unflinching,Perfect Timing,Time Warp Tonic,Attack Speed,Magic Resist,Armor
11.9,Canyon,DK,Morgana,Jungle,Domination,Sorcery,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Absolute Focus,Gathering Storm,Attack Speed,Adaptive Force,Armor,Link,649,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Overheal,Legend: Bloodline,Attack Speed,Adaptive Force,Armor
11.9,ShowMaker,DK,Zoe,Mid,Inspiration,Domination,Unsealed Spellbook,Perfect Timing,Minion Dematerializer,Time Warp Tonic,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Magic Resist,Link,648,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Cosmic Insight,Adaptive Force,Adaptive Force,Armor
11.9,Ghost,DK,Jhin,ADC,Precision,Inspiration,Fleet Footwork,Presence of Mind,Legend: Bloodline,Cut Down,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,Link,647,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Triumph,Legend: Tenacity,Attack Speed,Adaptive Force,Magic Resist
11.9,BeryL,DK,Leona,Support,Resolve,Inspiration,Aftershock,Font of Life,Second Wind,Unflinching,Hextech Flashtraption,Biscuit Delivery,Scaling CDR,Armor,Magic Resist,Link,646,Conqueror,Triumph,Legend: Tenacity,Last Stand,Revitalize,Second Wind,Attack Speed,Adaptive Force,Armor
11.9,Fudge,C9,Gangplank,Top,Resolve,Inspiration,Grasp of the Undying,Demolish,Second Wind,Overgrowth,Future's Market,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,Link,645,Aftershock,Shield Bash,Bone Plating,Unflinching,Nimbus Cloak,Waterwalking,Adaptive Force,Armor,Magic Resist
11.9,Blaber,C9,Kindred,Jungle,Precision,Inspiration,Press the Attack,Triumph,Legend: Bloodline,Cut Down,Magical Footwear,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist,Link,644,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Perkz,C9,Viktor,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Scorch,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Magic Resist,Link,643,Electrocute,Sudden Impact,Eyeball Collection,Ravenous Hunter,Presence of Mind,Last Stand,Adaptive Force,Adaptive Force,Magic Resist
11.9,Zven,C9,Varus,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,642,Conqueror,Triumph,Legend: Tenacity,Last Stand,Ultimate Hunter,Cheap Shot,Scaling CDR,Adaptive Force,Magic Resist
11.9,Vulcan,C9,TahmKench,Support,Resolve,Inspiration,Guardian,Font of Life,Conditioning,Unflinching,Minion Dematerializer,Approach Velocity,Attack Speed,Magic Resist,Armor,Link,641,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Armor
11.9,Buggax,INF,Gnar,Top,Resolve,Domination,Grasp of the Undying,Demolish,Bone Plating,Overgrowth,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Magic Resist,Link,640,Aftershock,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Attack Speed,Magic Resist,Armor
11.9,SolidSnake,INF,Udyr,Jungle,Sorcery,Precision,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Triumph,Legend: Alacrity,Attack Speed,Adaptive Force,Armor,Link,639,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,cody,INF,Sylas,Mid,Precision,Inspiration,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,Cosmic Insight,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor,Link,638,Press the Attack,Presence of Mind,Legend: Bloodline,Coup de Grace,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Magic Resist
11.9,Whitelotus,INF,Xayah,ADC,Precision,Inspiration,Lethal Tempo,Presence of Mind,Legend: Bloodline,Cut Down,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,637,Predator,Cheap Shot,Zombie Ward,Ultimate Hunter,Legend: Tenacity,Coup de Grace,Scaling CDR,Adaptive Force,Magic Resist
11.9,Ackerman,INF,Alistar,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Cosmic Insight,Scaling CDR,Armor,Armor,Link,636,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Attack Speed,Adaptive Force,Armor
11.9,Evi,DFM,Akali,Top,Precision,Resolve,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Adaptive Force,Adaptive Force,Armor,Link,635,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Cosmic Insight,Scaling CDR,Armor,Magic Resist
11.9,Steal,DFM,Hecarim,Jungle,Sorcery,Inspiration,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,634,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Aria,DFM,Renekton,Mid,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Adaptive Force,Adaptive Force,Magic Resist,Link,633,Phase Rush,Manaflow Band,Transcendence,Scorch,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Armor
11.9,Yutapon,DFM,Kaisa,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,632,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Future's Market,Cosmic Insight,Scaling CDR,Adaptive Force,Armor
11.9,Kazu,DFM,Rell,Support,Resolve,Inspiration,Aftershock,Shield Bash,Second Wind,Unflinching,Hextech Flashtraption,Time Warp Tonic,Scaling CDR,Armor,Armor,Link,631,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Bone Plating,Demolish,Attack Speed,Adaptive Force,Armor
