Team,TeamVS,Side,Champion,GameResult,Pick/Ban,Day,Role,Blind?
UOL,PGG,Blue,Udyr,Loss,Ban,Groups Tiebreakers,Ban,Ban
UOL,PGG,Blue,Urgot,Loss,Ban,Groups Day 6,Ban,Ban
UOL,PGG,Blue,Amumu,Loss,Ban,Groups Day 6,Ban,Ban
UOL,PGG,Blue,Orianna,Loss,Ban,Groups Day 6,Ban,Ban
UOL,PGG,Blue,Ryze,Loss,Ban,Groups Day 6,Ban,Ban
UOL,PGG,Blue,Gnar,Loss,Pick,Groups Day 6,Top,B
UOL,PGG,Blue,Alistar,Loss,Pick,Groups Day 6,Support,C
UOL,PGG,Blue,Kaisa,Loss,Pick,Groups Day 6,Adc,B
UOL,PGG,Blue,Khazix,Loss,Pick,Groups Day 6,Jungle,C
UOL,PGG,Blue,Viktor,Loss,Pick,Groups Day 6,Mid,B
PGG,UOL,Red,Nidalee,Win,Ban,Groups Day 6,Ban,Ban
PGG,UOL,Red,Rumble,Win,Ban,Groups Day 6,Ban,Ban
PGG,UOL,Red,Morgana,Win,Ban,Groups Day 6,Ban,Ban
PGG,UOL,Red,Sylas,Win,Ban,Groups Day 6,Ban,Ban
PGG,UOL,Red,Syndra,Win,Ban,Groups Day 6,Ban,Ban
PGG,UOL,Red,Jayce,Win,Pick,Groups Day 6,Top,C
PGG,UOL,Red,Nautilus,Win,Pick,Groups Day 6,Support,B
PGG,UOL,Red,Xayah,Win,Pick,Groups Day 6,Adc,C
PGG,UOL,Red,Karthus,Win,Pick,Groups Day 6,Jungle,B
PGG,UOL,Red,Lee Sin,Win,Pick,Groups Day 6,Mid,C
INF,C9,Blue,Lee Sin,Loss,Ban,Groups Day 6,Ban,Ban
INF,C9,Blue,Renekton,Loss,Ban,Groups Day 6,Ban,Ban
INF,C9,Blue,Tahm Kench,Loss,Ban,Groups Day 6,Ban,Ban
INF,C9,Blue,Jayce,Loss,Ban,Groups Day 6,Ban,Ban
INF,C9,Blue,Irelia,Loss,Ban,Groups Day 6,Ban,Ban
INF,C9,Blue,Morgana,Loss,Pick,Groups Day 6,Jungle,B
INF,C9,Blue,Kalista,Loss,Pick,Groups Day 6,Adc,C
INF,C9,Blue,Nautilus,Loss,Pick,Groups Day 6,Support,C
INF,C9,Blue,Syndra,Loss,Pick,Groups Day 6,Mid,C
INF,C9,Blue,Gangplank,Loss,Pick,Groups Day 6,Top,B
C9,INF,Red,Gnar,Win,Ban,Groups Day 6,Ban,Ban
C9,INF,Red,Udyr,Win,Ban,Groups Day 6,Ban,Ban
C9,INF,Red,Zoe,Win,Ban,Groups Day 6,Ban,Ban
C9,INF,Red,Viktor,Win,Ban,Groups Day 6,Ban,Ban
C9,INF,Red,Orianna,Win,Ban,Groups Day 6,Ban,Ban
C9,INF,Red,Varus,Win,Pick,Groups Day 6,Adc,B
C9,INF,Red,Thresh,Win,Pick,Groups Day 6,Support,B
C9,INF,Red,Rumble,Win,Pick,Groups Day 6,Jungle,C
C9,INF,Red,Lucian,Win,Pick,Groups Day 6,Mid,B
C9,INF,Red,Sion,Win,Pick,Groups Day 6,Top,C
DFM,DK,Blue,Senna,Loss,Ban,Groups Day 6,Ban,Ban
DFM,DK,Blue,Thresh,Loss,Ban,Groups Day 6,Ban,Ban
DFM,DK,Blue,Varus,Loss,Ban,Groups Day 6,Ban,Ban
DFM,DK,Blue,Udyr,Loss,Pick,Groups Day 6,Jungle,B
DFM,DK,Blue,Tristana,Loss,Pick,Groups Day 6,Adc,C
DFM,DK,Blue,Nocturne,Loss,Pick,Groups Day 6,Top,C
DFM,DK,Blue,Viktor,Loss,Ban,Groups Day 6,Ban,Ban
DFM,DK,Blue,Sylas,Loss,Ban,Groups Day 6,Ban,Ban
DFM,DK,Blue,Sett,Loss,Pick,Groups Day 6,Support,C
DFM,DK,Blue,Syndra,Loss,Pick,Groups Day 6,Mid,B
DK,DFM,Red,Urgot,Win,Ban,Groups Day 6,Ban,Ban
DK,DFM,Red,Morgana,Win,Ban,Groups Day 6,Ban,Ban
DK,DFM,Red,Renekton,Win,Ban,Groups Day 6,Ban,Ban
DK,DFM,Red,Kaisa,Win,Pick,Groups Day 6,Adc,B
DK,DFM,Red,Gnar,Win,Pick,Groups Day 6,Top,B
DK,DFM,Red,Nautilus,Win,Pick,Groups Day 6,Support,B
DK,DFM,Red,Leona,Win,Ban,Groups Day 6,Ban,Ban
DK,DFM,Red,Alistar,Win,Ban,Groups Day 6,Ban,Ban
DK,DFM,Red,Diana,Win,Pick,Groups Day 6,Jungle,C
DK,DFM,Red,Yasuo,Win,Pick,Groups Day 6,Mid,C
C9,DFM,Blue,Gnar,Win,Ban,Groups Day 6,Ban,Ban
C9,DFM,Blue,Urgot,Win,Ban,Groups Day 6,Ban,Ban
C9,DFM,Blue,Udyr,Win,Ban,Groups Day 6,Ban,Ban
C9,DFM,Blue,Morgana,Win,Pick,Groups Day 6,Jungle,B
C9,DFM,Blue,Kaisa,Win,Pick,Groups Day 6,Adc,C
C9,DFM,Blue,Nautilus,Win,Pick,Groups Day 6,Support,B
C9,DFM,Blue,Nocturne,Win,Ban,Groups Day 6,Ban,Ban
C9,DFM,Blue,Jayce,Win,Ban,Groups Day 6,Ban,Ban
C9,DFM,Blue,Yone,Win,Pick,Groups Day 6,Mid,C
C9,DFM,Blue,Sion,Win,Pick,Groups Day 6,Top,B
DFM,C9,Red,Senna,Loss,Ban,Groups Day 6,Ban,Ban
DFM,C9,Red,Lee Sin,Loss,Ban,Groups Day 6,Ban,Ban
DFM,C9,Red,Renekton,Loss,Ban,Groups Day 6,Ban,Ban
DFM,C9,Red,Rumble,Loss,Pick,Groups Day 6,Jungle,C
DFM,C9,Red,Tristana,Loss,Pick,Groups Day 6,Adc,B
DFM,C9,Red,Alistar,Loss,Pick,Groups Day 6,Support,C
DFM,C9,Red,Sylas,Loss,Ban,Groups Day 6,Ban,Ban
DFM,C9,Red,Lucian,Loss,Ban,Groups Day 6,Ban,Ban
DFM,C9,Red,Zoe,Loss,Pick,Groups Day 6,Mid,B
DFM,C9,Red,Sett,Loss,Pick,Groups Day 6,Top,C
DK,INF,Blue,Thresh,Win,Ban,Groups Day 6,Ban,Ban
DK,INF,Blue,Lee Sin,Win,Ban,Groups Day 6,Ban,Ban
DK,INF,Blue,Morgana,Win,Ban,Groups Day 6,Ban,Ban
DK,INF,Blue,Kaisa,Win,Pick,Groups Day 6,Adc,B
DK,INF,Blue,Udyr,Win,Pick,Groups Day 6,Jungle,C
DK,INF,Blue,Gnar,Win,Pick,Groups Day 6,Top,B
DK,INF,Blue,Lucian,Win,Ban,Groups Day 6,Ban,Ban
DK,INF,Blue,Nocturne,Win,Ban,Groups Day 6,Ban,Ban
