Team,Side,Champion,GameResult,Pick/Ban,Day,TeamVS,Role,Blind?
RNG,Blue,Zoe,Win,Ban,Finals,DK,Ban,Ban
RNG,Blue,Senna,Win,Ban,Finals,DK,Ban,Ban
RNG,Blue,Thresh,Win,Ban,Finals,DK,Ban,Ban
RNG,Blue,Udyr,Win,Pick,Finals,DK,Jungle,B
RNG,Blue,Kaisa,Win,Pick,Finals,DK,Adc,C
RNG,Blue,Nocturne,Win,Pick,Finals,DK,Mid,B
RNG,Blue,Sylas,Win,Ban,Finals,DK,Ban,Ban
RNG,Blue,Gnar,Win,Ban,Finals,DK,Ban,Ban
RNG,Blue,Gragas,Win,Pick,Finals,DK,Top,B
RNG,Blue,Leona,Win,Pick,Finals,DK,Support,C
DK,Red,Renekton,Loss,Ban,Finals,RNG,Ban,Ban
DK,Red,Lee Sin,Loss,Ban,Finals,RNG,Ban,Ban
DK,Red,Lucian,Loss,Ban,Finals,RNG,Ban,Ban
DK,Red,Varus,Loss,Pick,Finals,RNG,Adc,B
DK,Red,Rumble,Loss,Pick,Finals,RNG,Jungle,C
DK,Red,Tahm Kench,Loss,Pick,Finals,RNG,Support,B
DK,Red,Nautilus,Loss,Ban,Finals,RNG,Ban,Ban
DK,Red,Rell,Loss,Ban,Finals,RNG,Ban,Ban
DK,Red,Jayce,Loss,Pick,Finals,RNG,Mid,C
DK,Red,Aatrox,Loss,Pick,Finals,RNG,Top,C
DK,Blue,Thresh,Win,Ban,Finals,RNG,Ban,Ban
DK,Blue,Lucian,Win,Ban,Finals,RNG,Ban,Ban
DK,Blue,Varus,Win,Ban,Finals,RNG,Ban,Ban
DK,Blue,Renekton,Win,Pick,Finals,RNG,Mid,B
DK,Blue,Nidalee,Win,Pick,Finals,RNG,Jungle,B
DK,Blue,Tristana,Win,Pick,Finals,RNG,Adc,C
DK,Blue,Nautilus,Win,Ban,Finals,RNG,Ban,Ban
DK,Blue,Orianna,Win,Ban,Finals,RNG,Ban,Ban
DK,Blue,Aatrox,Win,Pick,Finals,RNG,Top,C
DK,Blue,Rell,Win,Pick,Finals,RNG,Support,C
RNG,Red,Zoe,Loss,Ban,Finals,DK,Ban,Ban
RNG,Red,Senna,Loss,Ban,Finals,DK,Ban,Ban
RNG,Red,Lee Sin,Loss,Ban,Finals,DK,Ban,Ban
RNG,Red,Gragas,Loss,Pick,Finals,DK,Top,C
RNG,Red,Kaisa,Loss,Pick,Finals,DK,Adc,B
RNG,Red,Udyr,Loss,Pick,Finals,DK,Jungle,C
RNG,Red,Gnar,Loss,Ban,Finals,DK,Ban,Ban
RNG,Red,Sylas,Loss,Ban,Finals,DK,Ban,Ban
RNG,Red,Leona,Loss,Pick,Finals,DK,Support,B
RNG,Red,Ryze,Loss,Pick,Finals,DK,Mid,C
RNG,Blue,Zoe,Win,Ban,Finals,DK,Ban,Ban
RNG,Blue,Senna,Win,Ban,Finals,DK,Ban,Ban
