"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"2.7%","8.1%","10.8%","0%","100%",0,2,2,1,"66.7%","15.4%","0%",64,451,0,8.5,"25.3%",230,"23.4%","22.9%",0.29,0.25
"Akali","Top",1,"2.7%","2.7%","5.4%","0%","100%",3,2,2,2.5,"62.5%","15.4%","0%",196,735,12,7.4,"22.1%",660,"36.3%","24.9%",0.26,0.18
"Alistar","Support",16,"43.2%","24.3%","67.6%","50%","56%",10,54,125,2.5,"66.2%","25.2%","13%",5,-49,-0.4,1.2,"2.9%",117,"6.6%","8.8%",1.46,0.36
"Amumu","-",0,"0%","2.7%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Aphelios","ADC",3,"8.1%","0.0%","8.1%","100%","100%",19,4,15,8.5,"57.6%","21.1%","67%",352,42,10,9.8,"32.6%",443,"21.9%","28.5%",0.49,0.39
"Ashe","-",0,"0%","2.7%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",1,"2.7%","0.0%","2.7%","100%","100%",5,4,13,4.5,"81.8%","36.4%","0%",-229,-190,5,8,"22.2%",573,"27.0%","20.1%",0.39,0.12
"Blitzcrank","Support",1,"2.7%","0.0%","2.7%","0%","100%",1,6,12,2.2,"72.2%","22.2%","0%",286,389,0,0.9,"1.6%",293,"14.5%","10.7%",1.11,0.1
"Braum","Support",1,"2.7%","2.7%","5.4%","0%","100%",0,4,2,0.5,"66.7%","19.0%","0%",-104,-201,-1,1.2,"3.8%",169,"10.4%","9.0%",1.3,0.29
"Camille","Top",1,"2.7%","5.4%","8.1%","0%","100%",2,9,2,0.4,"40.0%","45.0%","0%",-1173,-673,-12,7.6,"27.1%",451,"25.2%","24.1%",0.39,0.15
"Darius","Top",1,"2.7%","0.0%","2.7%","100%","100%",10,6,8,3,"85.7%","27.3%","0%",-307,-877,-5,7.3,"23.6%",715,"33.4%","26.5%",0.52,0.13
"Diana","Jungle",1,"2.7%","5.4%","8.1%","100%","100%",4,2,8,6,"70.6%","18.2%","0%",-453,-283,-4,7.9,"21.6%",461,"25.0%","20.1%",0.21,0.45
"Draven","-",0,"0%","16.2%","16.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","-",0,"0%","2.7%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Jungle",1,"2.7%","2.7%","5.4%","0%","100%",0,4,4,1,"100.0%","19.0%","100%",-714,-557,-8,5.6,"10.6%",382,"27.6%","17.0%",0.29,0.33
"Galio","Support",2,"5.4%","0.0%","5.4%","50%","100%",1,4,19,5,"74.1%","20.0%","100%",85,129,2,1.3,"2.6%",185,"9.8%","9.2%",1.38,0.2
"Gangplank","Top",5,"13.5%","0.0%","13.5%","20%","60%",8,27,20,1,"58.3%","31.8%","0%",-420,-308,-8.2,7.4,"25.0%",444,"24.4%","23.1%",0.4,0.1
"Gnar","Top",21,"56.8%","29.7%","86.5%","62%","24%",56,49,109,3.4,"59.4%","19.4%","19%",-134,-5,-3.2,7.9,"24.6%",419,"23.6%","23.0%",0.43,0.24
"Graves","Jungle",2,"5.4%","0.0%","5.4%","50%","100%",6,4,3,2.3,"47.4%","23.5%","0%",347,734,17.5,7.7,"23.2%",339,"19.7%","21.7%",0.23,0.27
"Hecarim","Jungle",2,"5.4%","0.0%","5.4%","0%","100%",3,5,5,1.6,"80.0%","15.2%","50%",-197,-721,-10,5.6,"16.1%",182,"11.9%","19.4%",0.44,0.43
"Irelia","-",0,"0%","10.8%","10.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",8,"21.6%","24.3%","45.9%","50%","88%",26,23,45,3.1,"60.7%","22.1%","0%",75,-302,5.9,8.3,"25.4%",630,"31.3%","23.1%",0.5,0.28
"Jhin","ADC",2,"5.4%","0.0%","5.4%","50%","100%",7,2,3,5,"66.7%","8.3%","50%",-10,184,1,8.5,"28.8%",416,"24.0%","26.1%",0.44,0.35
"Jinx","ADC",4,"10.8%","5.4%","16.2%","50%","75%",15,13,21,2.8,"69.2%","20.3%","0%",-86,-43,-5.5,9,"31.0%",476,"24.5%","26.7%",0.36,0.32
"Kai'Sa","ADC",27,"73.0%","13.5%","86.5%","48%","19%",106,57,112,3.8,"62.8%","14.6%","19%",-84,-3,1.9,9.4,"30.9%",388,"22.0%","26.0%",0.56,0.31
"Kalista","ADC",5,"13.5%","8.1%","21.6%","40%","80%",28,12,25,4.4,"66.3%","14.6%","20%",300,240,16.4,9.5,"33.7%",418,"21.5%","28.4%",0.64,0.3
"Karma","Top",1,"2.7%","2.7%","5.4%","0%","100%",0,3,2,0.7,"100.0%","15.0%","100%",223,-35,6,7.4,"21.6%",313,"31.3%","22.6%",0.56,0.08
"Karthus","Jungle",1,"2.7%","2.7%","5.4%","100%","0%",5,1,9,14,"66.7%","10.0%","0%",-62,497,3,6.8,"18.9%",505,"21.6%","20.3%",0.57,0.04
"Kassadin","Middle",1,"2.7%","0.0%","2.7%","0%","100%",2,2,1,1.5,"42.9%","8.3%","0%",-196,-163,-1,9.8,"33.1%",295,"22.7%","28.8%",0.36,0.4
"Kha'Zix","Jungle",1,"2.7%","0.0%","2.7%","0%","100%",0,5,3,0.6,"30.0%","23.8%","100%",62,-497,-3,6,"16.7%",215,"12.4%","16.2%",0.25,0.29
"Kindred","Jungle",2,"5.4%","2.7%","8.1%","0%","100%",0,7,5,0.7,"62.5%","33.3%","50%",-680,-1025,-15.5,6.9,"23.0%",136,"8.9%","19.8%",0.3,0.5
"Kog'Maw","ADC",1,"2.7%","0.0%","5.4%","0%","0%",0,5,2,0.4,"33.3%","27.8%","0%",-1244,-472,-22,7.7,"31.9%",343,"22.8%","22.5%",0.49,0
